"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant Price","Variant Compare At Price","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description"
"ice-serpent","Ice Serpent","","Bloxhop","Super","Digital Product","grow-a-garden-2, Super","TRUE","Title","Default Title","99.99","110.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/IceSerpent.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0ljZVNlcnBlbnQud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjUzMjUsImV4cCI6MTgxNDQ2MTMyNX0.VrjX8piziJ1vwxbSVuxx1070b6NRawF6CwZlXORoj0o","1","Ice Serpent","Ice Serpent",""
"unicorn","Unicorn ","","Bloxhop","Mythic","Digital Product","grow-a-garden-2, Mythic","TRUE","Title","Default Title","11.99","13.00","7","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Unicorn.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1VuaWNvcm4ud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjU1MTIsImV4cCI6MTgxNDQ2MTUxMn0.ScFzGsFGQuUs5MJhSV83tOOctkUIYCCRrlH9RXql19Y","1","Unicorn ","Unicorn ",""
"golden-dragonfly","Golden Dragonfly","","Bloxhop","Mythic","Digital Product","grow-a-garden-2, Mythic","TRUE","Title","Default Title","10.99","12.00","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/GoldenDragonfly.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0dvbGRlbkRyYWdvbmZseS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTU4MSwiZXhwIjoxODE0NDYxNTgxfQ.XdWpdq4zw0AViZMYhs-7DH0GDx66FvruEgx3Z0KVH0E","1","Golden Dragonfly","Golden Dragonfly",""
"bear","Bear ","","Bloxhop","Mythic","Digital Product","grow-a-garden-2, Mythic","TRUE","Title","Default Title","13.99","15.00","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Bear.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0JlYXIud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjU2NTYsImV4cCI6MTgxNDQ2MTY1Nn0.2mU7jLmIhu1lZJu1RJunF_m-6xtnpTPTACnpfqn3pTU","1","Bear ","Bear ",""
"monkey","Monkey ","","Bloxhop","","Digital Product","grow-a-garden-2","TRUE","Title","Default Title","11.99","14.00","7","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Monkey.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL01vbmtleS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTY5NywiZXhwIjoxODE0NDYxNjk3fQ.iwUCpua_zWwyDW_92S1RKxnweNFun9QX-2wOEvi9j9Y","1","Monkey ","Monkey ",""
"bee","Bee","","Bloxhop","Legendary","Digital Product","grow-a-garden-2, Legendary","TRUE","Title","Default Title","7.99","8.99","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Bee.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0JlZS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTczNywiZXhwIjoxODE0NDYxNzM3fQ.5E95OxoWFvIPwfSACoMNvKxLIzAUHrq3AjXbFwcSVEM","1","Bee","Bee",""
"robin","Robin ","","Bloxhop","Epic","Digital Product","grow-a-garden-2, Epic","TRUE","Title","Default Title","2.99","3.09","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Robin.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1JvYmluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzgyOTI1OTAzLCJleHAiOjE4MTQ0NjE5MDN9._urYKG6FeG0XU1lpymn0EieL-UiqujK0UqgUB_nog6I","1","Robin ","Robin ",""
"turtle","Turtle","","Bloxhop","Rare","Digital Product","grow-a-garden-2, Rare","TRUE","Title","Default Title","1.99","2.50","6","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Turtle.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1R1cnRsZS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTk1NSwiZXhwIjoxODE0NDYxOTU1fQ.TH-Cl6Zib5MqYQPf3ePczLXelBA8c57bLD4QXBlM6bY","1","Turtle","Turtle",""
"deer","Deer","","Bloxhop","Rare","Digital Product","adopt-me, Rare","TRUE","Title","Default Title","1.49","2.00","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Deer.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0RlZXIud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjYwMTQsImV4cCI6MTgxNDQ2MjAxNH0.6f0yEG-khCRuuc09rW-qIU8I2RcJ5tyWXfmcKjqQicc","1","Deer","Deer",""
"black-dragon","Black Dragon","","Bloxhop","Super","Digital Product","grow-a-garden-2, Super","TRUE","Title","Default Title","149.99","160.00","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/BlackDragon.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0JsYWNrRHJhZ29uLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzgyOTI2Mzg1LCJleHAiOjE4MTQ0NjIzODV9.bEb2MlONNtiGMf12xDvR-v1Vst14Y5afxgIoE9KNWAw","1","Black Dragon","Black Dragon",""
"vine-wrapper","Vine Wrapper","Trap people in vines!","Bloxhop","Game Passes/Gear ","Digital Product","grow-a-garden-2, Game Passes/Gear ","TRUE","Title","Default Title","8.99","9.99","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/vine.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL3ZpbmUuUE5HIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNjU4OCwiZXhwIjoxODE0NDYyNTg4fQ.mnzwOKzP2_PR-_c1Kk0OpJb_v7Fbfj7_UFPUEnuzz4A","1","Vine Wrapper","Vine Wrapper","Trap people in vines!"
"freeze-ray","Freeze Ray ","Freeze people and stop them from stealing!","Bloxhop","Game Passes/Gear","Digital Product","grow-a-garden-2, Game Passes/Gear","TRUE","Title","Default Title","11.99","13.00","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/freeze.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL2ZyZWV6ZS5QTkciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzgyOTI2NzgwLCJleHAiOjE4MTQ0NjI3ODB9.wMU_Iyd0knujTloX1hwV9kJ9hwcEe490yvjQWa2yA0s","1","Freeze Ray ","Freeze Ray ","Freeze people and stop them from stealing!"
"rainbow-magic-carpet","Rainbow Magic Carpet","","Bloxhop","Game Passes/Gear","Digital Product","grow-a-garden-2, Game Passes/Gear","TRUE","Title","Default Title","9.49","10.00","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/RainBow.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1JhaW5Cb3cuUE5HIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNjg3NCwiZXhwIjoxODE0NDYyODc0fQ.tbPkHCXRXNRJ7zplZZsy5Px1GbYLToQPAZtW0ne7fGc","1","Rainbow Magic Carpet","Rainbow Magic Carpet",""
"power-hose","Power Hose","Spray people from distance!","Bloxhop","Game Passes/Gear","Digital Product","grow-a-garden-2, Game Passes/Gear","TRUE","Title","Default Title","5.49","6.00","5","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/power.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL3Bvd2VyLlBORyIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjY5NjksImV4cCI6MTgxNDQ2Mjk2OX0.XnMtvccPjYOyNwuisWcIcaGgel43l_NchgZ3I47pRjE","1","Power Hose","Power Hose","Spray people from distance!"
"storage","+1 storage ","","Bloxhop","Gamepasses","Digital Product","blox-fruits, Gamepasses","TRUE","Title","Default Title","5.50","7.50","5","continue","manual","FALSE","TRUE","https://static.wikia.nocookie.net/roblox-blox-piece/images/6/6a/BadgeFruitStorage.png/revision/latest?cb=20241223150349","1","+1 storage ","+1 storage ",""
