"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Taxable","Cost per item","Image Src","Image Position","Status"
"ice-serpent","Ice Serpent","","Bloxhop","Super","Super, grow-a-garden-2","TRUE","Title","Default Title","BH-61","6250.37","6876.10","shopify","10","deny","manual","FALSE","FALSE","312550.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/IceSerpent.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0ljZVNlcnBlbnQud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjUzMjUsImV4cCI6MTgxNDQ2MTMyNX0.VrjX8piziJ1vwxbSVuxx1070b6NRawF6CwZlXORoj0o","1","active"
"unicorn","Unicorn ","","Bloxhop","Mythic","Mythic, grow-a-garden-2","TRUE","Title","Default Title","BH-62","749.49","812.63","shopify","7","deny","manual","FALSE","FALSE","62510.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Unicorn.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1VuaWNvcm4ud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjU1MTIsImV4cCI6MTgxNDQ2MTUxMn0.ScFzGsFGQuUs5MJhSV83tOOctkUIYCCRrlH9RXql19Y","1","active"
"golden-dragonfly","Golden Dragonfly","","Bloxhop","Mythic","Mythic, grow-a-garden-2","TRUE","Title","Default Title","BH-63","686.98","750.12","shopify","5","deny","manual","FALSE","FALSE","62510.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/GoldenDragonfly.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0dvbGRlbkRyYWdvbmZseS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTU4MSwiZXhwIjoxODE0NDYxNTgxfQ.XdWpdq4zw0AViZMYhs-7DH0GDx66FvruEgx3Z0KVH0E","1","active"
"bear","Bear ","","Bloxhop","Mythic","Mythic, grow-a-garden-2","TRUE","Title","Default Title","BH-64","874.51","937.65","shopify","5","deny","manual","FALSE","FALSE","62510.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Bear.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0JlYXIud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjU2NTYsImV4cCI6MTgxNDQ2MTY1Nn0.2mU7jLmIhu1lZJu1RJunF_m-6xtnpTPTACnpfqn3pTU","1","active"
"monkey","Monkey ","","Bloxhop","","grow-a-garden-2","TRUE","Title","Default Title","BH-65","749.49","875.14","shopify","7","deny","manual","FALSE","FALSE","60008.35","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Monkey.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL01vbmtleS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTY5NywiZXhwIjoxODE0NDYxNjk3fQ.iwUCpua_zWwyDW_92S1RKxnweNFun9QX-2wOEvi9j9Y","1","active"
"bee","Bee","","Bloxhop","Legendary","Legendary, grow-a-garden-2","TRUE","Title","Default Title","BH-66","499.45","561.96","shopify","5","deny","manual","FALSE","FALSE","45006.57","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Bee.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0JlZS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTczNywiZXhwIjoxODE0NDYxNzM3fQ.5E95OxoWFvIPwfSACoMNvKxLIzAUHrq3AjXbFwcSVEM","1","active"
"robin","Robin ","","Bloxhop","Epic","Epic, grow-a-garden-2","TRUE","Title","Default Title","BH-67","186.90","193.16","shopify","5","deny","manual","FALSE","FALSE","18753.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Robin.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1JvYmluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzgyOTI1OTAzLCJleHAiOjE4MTQ0NjE5MDN9._urYKG6FeG0XU1lpymn0EieL-UiqujK0UqgUB_nog6I","1","active"
"turtle","Turtle","","Bloxhop","Rare","Rare, grow-a-garden-2","TRUE","Title","Default Title","BH-68","124.39","156.28","shopify","6","deny","manual","FALSE","FALSE","10001.60","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Turtle.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1R1cnRsZS53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTk1NSwiZXhwIjoxODE0NDYxOTU1fQ.TH-Cl6Zib5MqYQPf3ePczLXelBA8c57bLD4QXBlM6bY","1","active"
"deer","Deer","","Bloxhop","Rare","Rare, adopt-me","TRUE","Title","Default Title","BH-69","93.14","125.02","shopify","5","deny","manual","FALSE","FALSE","7501.20","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Deer.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0RlZXIud2VicCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjYwMTQsImV4cCI6MTgxNDQ2MjAxNH0.6f0yEG-khCRuuc09rW-qIU8I2RcJ5tyWXfmcKjqQicc","1","active"
"black-dragon","Black Dragon","","Bloxhop","Super","Super, grow-a-garden-2","TRUE","Title","Default Title","BH-70","9375.87","10001.60","shopify","5","deny","manual","FALSE","FALSE","625100.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/BlackDragon.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL0JsYWNrRHJhZ29uLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzgyOTI2Mzg1LCJleHAiOjE4MTQ0NjIzODV9.bEb2MlONNtiGMf12xDvR-v1Vst14Y5afxgIoE9KNWAw","1","active"
"vine-wrapper","Vine Wrapper","Trap people in vines!","Bloxhop","Game Passes/Gear ","Game Passes/Gear , grow-a-garden-2","TRUE","Title","Default Title","BH-71","561.96","624.47","shopify","5","deny","manual","FALSE","FALSE","31255.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/vine.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL3ZpbmUuUE5HIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNjU4OCwiZXhwIjoxODE0NDYyNTg4fQ.mnzwOKzP2_PR-_c1Kk0OpJb_v7Fbfj7_UFPUEnuzz4A","1","active"
"freeze-ray","Freeze Ray ","Freeze people and stop them from stealing!","Bloxhop","Game Passes/Gear","Game Passes/Gear, grow-a-garden-2","TRUE","Title","Default Title","BH-72","749.49","812.63","shopify","5","deny","manual","FALSE","FALSE","46882.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/freeze.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL2ZyZWV6ZS5QTkciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzgyOTI2NzgwLCJleHAiOjE4MTQ0NjI3ODB9.wMU_Iyd0knujTloX1hwV9kJ9hwcEe490yvjQWa2yA0s","1","active"
"rainbow-magic-carpet","Rainbow Magic Carpet","","Bloxhop","Game Passes/Gear","Game Passes/Gear, grow-a-garden-2","TRUE","Title","Default Title","BH-73","593.22","625.10","shopify","5","deny","manual","FALSE","FALSE","37506.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/RainBow.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1JhaW5Cb3cuUE5HIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNjg3NCwiZXhwIjoxODE0NDYyODc0fQ.tbPkHCXRXNRJ7zplZZsy5Px1GbYLToQPAZtW0ne7fGc","1","active"
"power-hose","Power Hose","Spray people from distance!","Bloxhop","Game Passes/Gear","Game Passes/Gear, grow-a-garden-2","TRUE","Title","Default Title","BH-74","343.18","375.06","shopify","5","deny","manual","FALSE","FALSE","18753.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/power.PNG?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL3Bvd2VyLlBORyIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODI5MjY5NjksImV4cCI6MTgxNDQ2Mjk2OX0.XnMtvccPjYOyNwuisWcIcaGgel43l_NchgZ3I47pRjE","1","active"
"storage","+1 storage ","","Bloxhop","Gamepasses","Gamepasses, blox-fruits","TRUE","Title","Default Title","BH-75","343.81","468.83","shopify","5","deny","manual","FALSE","FALSE","25004.00","https://static.wikia.nocookie.net/roblox-blox-piece/images/6/6a/BadgeFruitStorage.png/revision/latest?cb=20241223150349","1","active"
"permanent-magnet","Permanent Magnet ","COOMING SOON ON SEPT 5","Bloxhop","Permanent Fruits","SOON, Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-76","","","shopify","","deny","manual","FALSE","FALSE","","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/123.png?token=eyJraWQiOiIxN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS8xMjMucG5nIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4ODE4NjQ2NCwiZXhwIjoxODE5NzIyNDY0fQ.5LUwDUrx5s3C8xVP-6-WE2nPYPbteSFG6wwM_akNYjY","1","active"
